id;smeller;sample;intensity;humor;note;image;feeling;name
3;3;S41;60;DOUCEUR;CHIMIQUE;ALCOOL;20;
11;11;CS1;40;ANXIETE;CHIMIQUE;ESSENCE;80;
14;14;CS10;40;DOUCEUR;CHIMIQUE;ESSENCE;20;
17;17;CS16;100;ANXIETE;GRASSE;BEURRE RANCE;80;
19;19;CS24;40;AFFECTION;FRUITEE;RAISIN;40;
20;20;CS24;80;IRRITATION;GRASSE;CUMIN;80;
22;22;PB1;60;IRRITATION;ANIMALE;SANGLIER;80;
23;23;PB2;100;COLERE;ANIMALE;CHIEN MOUILLE;60;
26;26;PB4;100;AFFECTION;ANIMALE;BOUC / CHEVRE;100;
27;27;PB4;100;COLERE;ANIMALE;SANGLIER;100;
31;31;CS57;100;AFFECTION;EPICEE;SANGLIER;72;test1216
32;31;CS2;11;NERVOSITE;FRUITEE;FRUIT DE LA PASSION;58;test1217
33;31;CS54;50;TRISTESSE;VEGETALE;PIMENT;70;test1218
34;31;CS16;77;NERVOSITE;EPICEE;SANGLIER;66;test1219
35;31;S45;79;COLERE;EPICEE;RAISIN;80;test1220
36;31;PB3;92;IRRITATION;EPICEE;ASPERGE;63;test1221
37;32;CS52;72;IRRITATION;VEGETALE;ASPERGE;56;testes
40;34;CS5;16;AFFECTION;CHIMIQUE;ALCOOL;38;Tuyau
41;35;S28;5;DOUCEUR;VEGETALE;RAISIN;49;Le néant
42;36;S41;79;AFFECTION;ANIMALE;CHIEN MOUILLE;100;fourure
43;35;S36;0;TRISTESSE;VEGETALE;RAISIN;49;Rien
44;36;CS49;70;EXCITATION;EPICEE;PIMENT;0;poivre frais
45;34;CS19;84;NERVOSITE;ANIMALE;BOUC / CHEVRE;57;Voiture
46;35;CS33;29;BONHEUR;FRUITEE;FRUIT DE LA PASSION;13;Fruit fruit
47;34;CS8;56;ANXIETE;EPICEE;CUMIN;33;mangrove
48;36;S32;11;EXCITATION;ANIMALE;FRUIT DE LA PASSION;0;amour
49;35;CS38;0;TRISTESSE;VEGETALE;RAISIN;100;Rien
50;35;CS24;78;NERVOSITE;CHIMIQUE;CUMIN;62;Champignon de piscine
51;34;CS27;78;EXCITATION;VEGETALE;PIMENT;24;Camphre
52;35;CS29;0;AFFECTION;VEGETALE;RAISIN;100;Rien
