id;smeller;sample;intensity;humor;note;image;feeling;name
3;3;S41;60;DOUCEUR;CHIMIQUE;ALCOOL;20;
11;11;CS1;40;ANXIETE;CHIMIQUE;ESSENCE;80;
14;14;CS10;40;DOUCEUR;CHIMIQUE;ESSENCE;20;
17;17;CS16;100;ANXIETE;GRASSE;BEURRE RANCE;80;
19;19;CS24;40;AFFECTION;FRUITEE;RAISIN;40;
20;20;CS24;80;IRRITATION;GRASSE;CUMIN;80;
22;22;PB1;60;IRRITATION;ANIMALE;SANGLIER;80;
23;23;PB2;100;COLERE;ANIMALE;CHIEN MOUILLE;60;
26;26;PB4;100;AFFECTION;ANIMALE;BOUC / CHEVRE;100;
27;27;PB4;100;COLERE;ANIMALE;SANGLIER;100;
31;31;CS57;100;AFFECTION;EPICEE;SANGLIER;72;test1216
32;31;CS2;11;NERVOSITE;FRUITEE;FRUIT DE LA PASSION;58;test1217
33;31;CS54;50;TRISTESSE;VEGETALE;PIMENT;70;test1218
34;31;CS16;77;NERVOSITE;EPICEE;SANGLIER;66;test1219
35;31;S45;79;COLERE;EPICEE;RAISIN;80;test1220
36;31;PB3;92;IRRITATION;EPICEE;ASPERGE;63;test1221
